algorithm,laptime,finish,collision,collision_reset,max_speed,avg_speed
FGM_STECH,3.5499999999999683,True,False,0,2.1361943002514048,1.5233842192416465
FGM_GNU,3.5499999999999683,True,False,0,2.1361943002514048,1.5233842192416465
ODG-PF,7.469999999999885,1.0,True,2,6.86044552125489,4.798897950414315
FGM-CONV,132.72000000002427,True,False,0,7.94896887015037,6.795749860318965
