algorithm,laptime,finish,collision,max_speed,sus_a,sus_b,braking_a,braking_b
FGM_GNU_CONV,8.68999999999986,1.0,True,15.0,0.3,0.2,-2.0,1.0
FGM_GNU_CONV,8.529999999999863,1.0,True,15.0,0.3,0.2,-2.0,1.0555555555555556
FGM_GNU_CONV,8.409999999999865,1.0,True,15.0,0.3,0.2,-2.0,1.1111111111111112
FGM_GNU_CONV,8.329999999999867,1.0,True,15.0,0.3,0.2,-2.0,1.1666666666666667
FGM_GNU_CONV,8.289999999999868,1.0,True,15.0,0.3,0.2,-2.0,1.2222222222222223
FGM_GNU_CONV,8.279999999999868,1.0,True,15.0,0.3,0.2,-2.0,1.2777777777777777
FGM_GNU_CONV,8.269999999999868,1.0,True,15.0,0.3,0.2,-2.0,1.3333333333333333
FGM_GNU_CONV,8.269999999999868,1.0,True,15.0,0.3,0.2,-2.0,1.3888888888888888
FGM_GNU_CONV,8.259999999999868,1.0,True,15.0,0.3,0.2,-2.0,1.4444444444444444
FGM_GNU_CONV,8.249999999999869,1.0,True,15.0,0.3,0.2,-2.0,1.5
FGM_GNU_CONV,8.769999999999857,1.0,True,15.0,0.3,0.2,-1.7777777777777777,1.0
FGM_GNU_CONV,8.569999999999862,1.0,True,15.0,0.3,0.2,-1.7777777777777777,1.0555555555555556
FGM_GNU_CONV,8.449999999999864,1.0,True,15.0,0.3,0.2,-1.7777777777777777,1.1111111111111112
FGM_GNU_CONV,8.369999999999866,1.0,True,15.0,0.3,0.2,-1.7777777777777777,1.1666666666666667
FGM_GNU_CONV,8.319999999999867,1.0,True,15.0,0.3,0.2,-1.7777777777777777,1.2222222222222223
FGM_GNU_CONV,8.279999999999868,1.0,True,15.0,0.3,0.2,-1.7777777777777777,1.2777777777777777
FGM_GNU_CONV,8.269999999999868,1.0,True,15.0,0.3,0.2,-1.7777777777777777,1.3333333333333333
FGM_GNU_CONV,8.259999999999868,1.0,True,15.0,0.3,0.2,-1.7777777777777777,1.3888888888888888
FGM_GNU_CONV,8.259999999999868,1.0,True,15.0,0.3,0.2,-1.7777777777777777,1.4444444444444444
FGM_GNU_CONV,8.249999999999869,1.0,True,15.0,0.3,0.2,-1.7777777777777777,1.5
FGM_GNU_CONV,8.859999999999856,1.0,True,15.0,0.3,0.2,-1.5555555555555556,1.0
FGM_GNU_CONV,8.62999999999986,1.0,True,15.0,0.3,0.2,-1.5555555555555556,1.0555555555555556
FGM_GNU_CONV,8.489999999999863,1.0,True,15.0,0.3,0.2,-1.5555555555555556,1.1111111111111112
FGM_GNU_CONV,8.399999999999865,1.0,True,15.0,0.3,0.2,-1.5555555555555556,1.1666666666666667
FGM_GNU_CONV,8.329999999999867,1.0,True,15.0,0.3,0.2,-1.5555555555555556,1.2222222222222223
FGM_GNU_CONV,8.289999999999868,1.0,True,15.0,0.3,0.2,-1.5555555555555556,1.2777777777777777
FGM_GNU_CONV,8.279999999999868,1.0,True,15.0,0.3,0.2,-1.5555555555555556,1.3333333333333333
FGM_GNU_CONV,8.269999999999868,1.0,True,15.0,0.3,0.2,-1.5555555555555556,1.3888888888888888
