algorithm,laptime,finish,collision,collision_reset,max_speed,avg_speed
FGM_GNU_CONV,101.97000000001526,True,False,0,11.571183901013804,8.898010256949556
FGM_CONV,99.04000000001376,True,False,0,11.770207711623872,9.102873750263413
