algorithm,laptime,finish,collision,collision_reset,max_speed,avg_speed
FGM_GNU_CONV,8.999999999999853,1.0,True,0,13.148464262918608,10.750734526251977
FGM_CONV,8.66999999999986,1.0,True,0,13.576165069555449,11.122705390629866
