algorithm,laptime,finish,collision,collision_reset,max_speed,avg_speed
FGM_GNU_CONV,96.44000000001243,True,False,0,12.568703346254338,9.397605556503885
FGM_CONV,93.23000000001079,True,False,0,12.821963582163633,9.667643891447968
